CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
768805383,Existing Customer,45,M,High School,Married,$60K - $80K,Blue,12691,1.335,1144,42,1.625
818770008,Existing Customer,49,F,Graduate,Single,Less than $40K,Blue,8256,1.541,1291,33,3.714
713982108,Existing Customer,51,M,Graduate,Married,$80K - $120K,Blue,3418,2.594,1887,20,2.333
769911858,Existing Customer,40,F,High School,Unknown,Less than $40K,Blue,3313,1.405,1171,20,2.333
709106358,Existing Customer,40,M,Uneducated,Married,$60K - $80K,Blue,4716,2.175,816,28,2.5
713061558,Existing Customer,44,M,Graduate,Married,$40K - $60K,Blue,4010,1.376,1088,24,0.846
810347208,Existing Customer,51,M,Unknown,Married,$120K +,Gold,34516,1.975,1330,31,0.722
818906208,Existing Customer,32,M,High School,Unknown,$60K - $80K,Silver,29081,2.204,1538,36,0.714
710930508,Existing Customer,37,M,Uneducated,Single,$60K - $80K,Blue,22352,3.355,1350,24,1.182
719661558,Existing Customer,48,M,Graduate,Single,$80K - $120K,Blue,11656,1.524,1441,32,0.882
708790833,Existing Customer,42,M,Uneducated,Unknown,$120K +,Blue,6748,0.831,1201,42,0.68
710821833,Existing Customer,65,M,Unknown,Married,$40K - $60K,Blue,9095,1.433,1314,26,1.364
710599683,Existing Customer,56,M,College,Single,$80K - $120K,Blue,11751,3.397,1539,17,3.25
816082233,Existing Customer,35,M,Graduate,Unknown,$60K - $80K,Blue,8547,1.163,1311,33,2
712396908,Existing Customer,57,F,Graduate,Married,Less than $40K,Blue,2436,1.19,1570,29,0.611
714885258,Existing Customer,44,M,Unknown,Unknown,$80K - $120K,Blue,4234,1.707,1348,27,1.7
709967358,Existing Customer,48,M,Post-Graduate,Single,$80K - $120K,Blue,30367,1.708,1671,27,0.929
753327333,Existing Customer,41,M,Unknown,Married,$80K - $120K,Blue,13535,0.653,1028,21,1.625
806160108,Existing Customer,61,M,High School,Married,$40K - $60K,Blue,3193,1.831,1336,30,1.143
709327383,Existing Customer,45,F,Graduate,Married,Unknown,Blue,14470,0.966,1207,21,0.909
806165208,Existing Customer,47,M,Doctorate,Divorced,$60K - $80K,Blue,20979,0.906,1178,27,0.929
708508758,Attrited Customer,62,F,Graduate,Married,Less than $40K,Blue,1438.3,1.047,692,16,0.6
784725333,Existing Customer,41,M,High School,Married,$40K - $60K,Blue,4470,1.608,931,18,1.571
811604133,Existing Customer,47,F,Unknown,Single,Less than $40K,Blue,2492,0.573,1126,23,0.353
789124683,Existing Customer,54,M,Unknown,Married,$80K - $120K,Blue,12217,1.075,1110,21,0.75
771071958,Existing Customer,41,F,Graduate,Single,Less than $40K,Blue,7768,0.797,1051,22,0.833
720466383,Existing Customer,59,M,High School,Unknown,$40K - $60K,Blue,14784,0.921,1197,23,1.3
804424383,Existing Customer,63,M,Unknown,Married,$60K - $80K,Blue,10215,0.843,1904,40,1
718813833,Existing Customer,44,F,Uneducated,Single,Unknown,Blue,10100,0.525,1052,18,1.571
806624208,Existing Customer,47,M,High School,Married,$40K - $60K,Blue,4785,0.739,1045,38,0.9
778348233,Existing Customer,53,M,Unknown,Married,$80K - $120K,Blue,2753,0.977,1038,25,2.571
712991808,Existing Customer,53,M,Uneducated,Married,$60K - $80K,Blue,2451,1.323,1596,26,1.6
709029408,Existing Customer,41,M,Graduate,Married,$60K - $80K,Blue,8923,1.726,1589,24,1.667
788658483,Existing Customer,53,F,College,Married,Less than $40K,Blue,2650,1.75,1411,28,1
787937058,Existing Customer,58,M,Graduate,Married,$80K - $120K,Blue,12555,0.519,1291,24,0.714
715318008,Existing Customer,55,F,College,Single,Less than $40K,Blue,3520,0.51,1407,43,0.483
713962233,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,3035,1.724,1877,37,1.176
785432733,Existing Customer,42,F,High School,Married,Less than $40K,Gold,15433,0.865,966,22,1.2
715190283,Existing Customer,57,F,Graduate,Unknown,$40K - $60K,Blue,3672,1.32,1464,28,0.556
708300483,Attrited Customer,66,F,Doctorate,Married,Unknown,Blue,7882,1.052,704,16,0.143
827111283,Existing Customer,45,M,Graduate,Single,$80K - $120K,Blue,32426,1.042,1109,28,0.474
758551608,Existing Customer,51,M,Unknown,Married,$40K - $60K,Blue,6205,0.803,1347,28,0.556
773146383,Existing Customer,50,F,College,Single,$40K - $60K,Silver,17304,1.449,1756,33,1.2
778493808,Existing Customer,49,M,High School,Married,$60K - $80K,Blue,3906,1.214,1756,32,1
720572508,Existing Customer,38,F,Graduate,Single,Unknown,Blue,9830,0.977,1042,23,0.917
712661433,Existing Customer,49,M,Uneducated,Single,$80K - $120K,Blue,34516,1.621,1444,28,1.333
789172683,Existing Customer,56,M,Doctorate,Married,$60K - $80K,Blue,2283,2.316,1741,27,0.588
738406533,Existing Customer,59,M,Doctorate,Married,$40K - $60K,Blue,2548,2.357,1719,27,1.7
799723908,Existing Customer,46,M,High School,Married,$80K - $120K,Blue,19458,0.787,1217,27,0.8
771490833,Existing Customer,52,M,College,Single,$80K - $120K,Blue,4745,0.624,1140,40,0.6
720756708,Existing Customer,52,F,Unknown,Married,Less than $40K,Blue,2622,1.321,1878,30,1.143
779471883,Attrited Customer,54,F,Graduate,Married,Less than $40K,Blue,1438.3,0.997,705,19,0.9
711525033,Existing Customer,66,F,High School,Married,Less than $40K,Blue,3171,1.224,1946,38,1.923
712813458,Existing Customer,49,M,Unknown,Married,$120K +,Blue,19763,0.664,1414,35,0.25
714374133,Attrited Customer,56,M,Graduate,Married,$120K +,Blue,15769,1.041,602,15,0.364
717891558,Existing Customer,49,F,Graduate,Unknown,Less than $40K,Blue,3298,0.678,1052,32,0.6
716632758,Existing Customer,49,F,Graduate,Single,Less than $40K,Blue,2802,0.75,1295,40,0.6
768563658,Existing Customer,56,M,Uneducated,Married,$40K - $60K,Blue,4458,1.107,1424,29,1.417
711427458,Existing Customer,44,F,Graduate,Married,Unknown,Blue,6273,2.275,1359,25,1.083
714091983,Existing Customer,42,M,High School,Single,$60K - $80K,Blue,3336,0.69,1168,27,1.25
787584108,Existing Customer,55,M,Unknown,Married,$80K - $120K,Blue,3436,0.901,1097,33,0.833
712030833,Attrited Customer,48,M,Graduate,Married,$60K - $80K,Silver,34516,0.763,691,15,0.5
711481533,Existing Customer,39,M,High School,Divorced,$60K - $80K,Blue,5926,0.944,1316,28,1.154
710082708,Existing Customer,44,M,Post-Graduate,Single,$120K +,Blue,23957,0.997,1276,26,0.733
708155733,Existing Customer,53,M,High School,Single,$120K +,Blue,14734,0.989,1289,23,0.917
788979258,Existing Customer,51,M,Uneducated,Single,$80K - $120K,Silver,34516,0.592,1293,32,0.6
807986133,Existing Customer,57,M,College,Married,$60K - $80K,Blue,6584,0.62,1353,35,0.667
788730933,Existing Customer,44,F,Uneducated,Single,Less than $40K,Blue,2084,1.004,1132,28,0.556
711314058,Existing Customer,49,M,Graduate,Married,$60K - $80K,Blue,1687,1.715,1670,17,2.4
717975333,Existing Customer,50,M,Doctorate,Married,$80K - $120K,Blue,25300,1.072,837,15,2
715971108,Existing Customer,51,M,Graduate,Single,$120K +,Blue,34516,1.266,1550,41,1.05
720096558,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,2216,0.758,1540,36,0.286
719580033,Existing Customer,54,M,Graduate,Unknown,$60K - $80K,Blue,2910,0.769,1256,21,0.4
820582308,Existing Customer,42,M,Uneducated,Married,$80K - $120K,Blue,22913,0.414,1394,35,0.522
789973308,Existing Customer,44,M,College,Single,$60K - $80K,Blue,24312,1.312,1341,24,1.182
712876233,Existing Customer,53,M,Graduate,Single,$80K - $120K,Blue,5272,0.857,1289,33,0.435
804595158,Existing Customer,44,F,Graduate,Single,Less than $40K,Blue,7000,0.475,1112,23,1.875
714826758,Existing Customer,37,F,Uneducated,Single,Less than $40K,Blue,7038,0.751,2339,57,0.966
779058108,Existing Customer,49,M,Graduate,Divorced,$60K - $80K,Blue,2536,0.703,1468,23,0.353
710790258,Existing Customer,47,M,Graduate,Married,$80K - $120K,Blue,28904,0.85,1334,35,0.4
715623483,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,8567,1.242,1457,41,1.412
715156383,Existing Customer,44,M,Unknown,Unknown,$120K +,Blue,34516,0.924,1603,29,0.526
711013983,Attrited Customer,55,F,Unknown,Married,$40K - $60K,Blue,2158,0.585,615,12,0.714
755420433,Existing Customer,59,F,Graduate,Married,Unknown,Blue,10133,0.383,1068,20,0.818
794543958,Existing Customer,53,M,Graduate,Divorced,$80K - $120K,Blue,34516,1.129,1590,27,2
716396358,Existing Customer,52,M,Graduate,Married,$60K - $80K,Blue,3085,0.921,1531,35,0.667
715398033,Existing Customer,53,M,High School,Single,$120K +,Blue,19040,0.607,1212,31,0.722
711743883,Existing Customer,43,F,Uneducated,Single,Less than $40K,Blue,4026,0.483,1237,32,0.6
719720058,Existing Customer,44,M,High School,Single,$60K - $80K,Blue,12756,1.932,1413,14,1.8
778992108,Existing Customer,57,M,Unknown,Married,$120K +,Blue,5266,1.702,1516,29,1.636
